Task,Sample,Expression
001,Sample001,81.26199842
001,Sample002,74.05022554
001,Sample003,72.06764225
001,Sample004,78.35542982
001,Sample005,75.33874289
001,Sample006,83.79068142
001,Sample007,83.88002998
2,Sample001,34.9374834
,Sample002,41.9595223
,Sample003,35.63030985
,Sample004,38.00016881
,Sample005,28.81274556
,Sample006,36.84288184
,Sample007,42.17384173
3,Sample001,137.9545351
,Sample002,128.6051785
,Sample003,136.4817568
,Sample004,136.0389839
,Sample005,144.7561795
,Sample006,131.5789287
,Sample007,125.2779921
